file,fact-score,insights
before-0,0.0,7
before-3,1.0,4
after-0,1.0,11
after-2,1.0,3
before-2,1.0,2
before-4,1.0,1
before-0,1.0,3
after-1,1.0,3
before-3,1.0,3
before-1,1.0,3
after-0,0.47368421052631576,19
before-2,1.0,3
after-1,0.6,10
before-1,1.0,12
after-0,1.0,5
after-2,1.0,3
before-2,1.0,8
before-0,1.0,4
after-1,1.0,6
before-1,1.0,4
after-3,1.0,9
after-0,1.0,10
after-5,1.0,2
before-4,0.75,8
after-6,0.9166666666666666,12
before-0,1.0,2
after-1,1.0,7
before-3,0.8,5
before-1,0.6666666666666666,3
after-3,1.0,1
after-0,1.0,1
